"campus","sample_type","sample_subtype","classcode","orig_classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021"
"VRG","SWATH","INVERT","APLVAC","Aplysia vaccaria","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","vaccaria","Aplysia vaccaria","WoRMS","568031","Black Sea Hare",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","SWATH","INVERT","APOCAL","APOCAL","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","529363","California Sea Cucumber",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APOCAL","PARCAL","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","529363","California Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2001",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APOCAL","PARCAL","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","529363","California Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2001",">2.5cm, longest dimension","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","APOCAL","Parastichopus californicus","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","529363","California Sea Cucumber",NA,">2.5cm, longest dimension","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","SWATH","INVERT","APOPAR","APOPAR","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","529435","Warty Sea Cucumber",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APOPAR","PARPAR","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","529435","Warty Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2000",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APOPAR","PARPAR","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","529435","Warty Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2001",">2.5cm, longest dimension","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","APOPAR","Parastichopus parvimensis","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","529435","Warty Sea Cucumber",NA,">2.5cm, longest dimension","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APOSPP","APOSPP","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","spp","Apostichopus","WoRMS","241373","Sea Cucumber","After 1999, species were ID'd and counted separately. This species group was split in 2000 into P. californicus and P. parvimensis",">2.5cm, longest dimension","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","APOSPP","APOSPP","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","spp","Apostichopus","WoRMS","241373","Sea Cucumber","After 2000, species were ID'd and counted separately. This species group was split in 2001 into P. californicus and P. parvimensis",">2.5cm, longest dimension","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","ARBSTE","ARBSTE","Animalia","Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","stellata","Arbacia stellata","WoRMS","513125","black urchin",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes"
"VRG","SWATH","INVERT","ARBSTE","Arbacia stellata","Animalia","Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","stellata","Arbacia stellata","WoRMS","513125","black urchin",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ASTARM","ASTARM","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","armatus","Astropecten armatus","WoRMS","292851","Armored Sand Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","ASTARM","Astropecten armatus","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","armatus","Astropecten armatus","WoRMS","292851","Armored Sand Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","SWATH","INVERT","ASTSER","ASTSER","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","255044","Fragile Rainbow Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ASTSER","ASTSER","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","255044","Fragile Rainbow Star","Added to species list in 2011, previous years stars not on species list were lumped as ASTSPP (unidentified asteroid).",">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","ASTSER","ASTSER","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","255044","Fragile Rainbow Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","ASTSER","Astrometis sertulifera","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","255044","Fragile Rainbow Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","SWATH","INVERT","ASTSPP","ASTSPP","Animalia","Echinodermata","Asteroidea",NA,NA,"Asteroidea","spp","Asteroidea","WoRMS","123080","Unidentified Seastar",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ASTSPP","ASTSPP","Animalia","Echinodermata","Asteroidea",NA,NA,"Asteroidea","spp","Asteroidea","WoRMS","123080","Unidentified Seastar","After 2010 all seastars were ID'd to species.",">2.5cm, diameter","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","ASTSPP","ASTSPP","Animalia","Echinodermata","Asteroidea",NA,NA,"Asteroidea","spp","Asteroidea","WoRMS","123080","Unidentified Seastar",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ATRIDA","MITIDA","Animalia","Mollusca","Gastropoda","Neogastropoda","Mitridae","Atrimitra","idae","Atrimitra idae","WoRMS","1074819","Ida's Miter","Not sampled.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","SWATH","INVERT","BALNUB","BALNUB","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","nubilus","Balanus nubilus","WoRMS","594745","Barnacle",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","BALNUB","BALNUB","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","nubilus","Balanus nubilus","WoRMS","594745","Barnacle","This species was sampled starting in 2000",">2.5cm, longest dimension","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","BALNUB","BALNUB","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","nubilus","Balanus nubilus","WoRMS","594745","Barnacle","This species was sampled starting in 2001",">2.5cm, longest dimension","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","BAPMIM","Baptodoris mimetica","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Baptodoris","mimetica","Baptodoris mimetica","WoRMS","581822","Nudibranch",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","BERCAL","Berthella californica","Animalia","Mollusca","Gastropoda","Pleurobranchida","Pleurobranchidae","Berthella","californica","Berthella californica","WoRMS","534374","California berthella",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","CADLFLA","Cadlina flavomaculata","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Cadlina","flavomaculata","Cadlina flavomaculata","WoRMS","562477","Nudibranch",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
